what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1295957636531
processors,sysinfo,,,"4",1295957636532
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295957636532
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1295957636532
java.specification.name,sysinfo,,,"Java Platform API Specification",1295957636532
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295957636532
java.specification.version,sysinfo,,,"1.6",1295957636532
java.vendor,sysinfo,,,"Apple Inc.",1295957636532
java.version,sysinfo,,,"1.6.0_22",1295957636532
java.vm.info,sysinfo,,,"mixed mode",1295957636532
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295957636532
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295957636532
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295957636532
java.vm.specification.version,sysinfo,,,"1.0",1295957636532
java.vm.vendor,sysinfo,,,"Apple Inc.",1295957636532
java.vm.version,sysinfo,,,"17.1-b03-307",1295957636532
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1295957661867
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1295957665292
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1295957665374
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1295957665534
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1295957665925
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1295957665925
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1295957665925
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1295957665925
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1295957665925
